Graph,WindowsMD5,LinuxMD5
nmACPlot1.jpg,e61d8300739408dbd7c1576ea5cc8c6e,12aa6652c29aa0a83af9be61bac5298c
nmACPlot2.jpg,0e6a20c24e1f16eb0f9129f179bb580e,5a1b908076adc2582333aff7844595d2
nmACPlot3.jpg,8a6a2bd75091d3db2ca06fa8ac5d6e50,d83f7a9227f90d64622fe0c33d81d555
nmBarChart1.jpg,8af08a080373d84f870a046b5fd1dfa6,96840e1e4c6c975751ffac2e51d5b208
nmBarChart2.jpg,d3687a26afcf18bf7c0c2ca1b685c9d6,230f22f75df8290d34bf45843ba3f19b
nmBarChart3.jpg,3856da4e1343051f8835832cb390034e,ed670ec08a970c40ac337cc3834614da
nmBarChart4.jpg,dbd4e6e781b34055e8b8f03d7e3313b1,c898c18fcae742717857b62c232413b9
nmBarChart5.jpg,c74a229f7cd130f940c7178e7d7dcb88,969ad93e9d5ca41c18b9da147ae74e4b
nmBarChart6.jpg,7d6acb852bdaa12ce99a3ded68e7f050,e9b7e523f3317bc18690447125a429db
nmBarChart7.jpg,9bdecdab708c65a79099116f7c475c3d,974dcf8c6adff3cb7bee7b941ba61381
nmBarChart8.jpg,08a8780511a027d90f0cc6c93df22a29,603dcc8ef3901683942bbe16c02a7854
nmBoxPlot1.jpg,925526adcf87f452e1f635102ca098d8,6747cb9f2fcac732865df421fbc8ad0d
nmBoxPlot10.jpg,1e0bc286907353fbd3b8ee0ecd2d6dbc,2f6cde2019cd873f03014cbe560abcf0
nmBoxPlot11.jpg,7649e867e2211cef6767a4fef021764c,a34e0c5969e91f7c49de6de4004cd53d
nmBoxPlot12.jpg,b3c25548c1c05426e8bf982c53661b82,d4db3623a4e9d20ffa22cd1865b58273
nmBoxPlot2.jpg,1735644e894eb149988867afdbb4ce75,c7594f01e3802e3292301b98e3aaa0d8
nmBoxPlot3.jpg,669464bb3478b02c8cd220cabc8ebe0b,891dd1053d03aa9a3fa8e6e4b63b0383
nmBoxPlot4.jpg,b14e1ce173463d58a0d9362f5d08d995,a61f565be2d01c66ff0a4d243859f1b3
nmBoxPlot5.jpg,b14e1ce173463d58a0d9362f5d08d995,a61f565be2d01c66ff0a4d243859f1b3
nmBoxPlot6.jpg,da99e2bae2c8676c11d31217ae14bb14,736f2ba1aa282f111bd32c783df92f12
nmBoxPlot7.jpg,9949ac08bf4e96e81cc9df2e3bc2d0da,4a7d590ec20029d7cfaedd73f6d1c09a
